age,experience_years,education_level,hours_per_week,salary
47,14,4,51,140123
56,28,2,28,154213
46,7,4,34,101914
32,3,4,37,84415
57,37,4,59,225153
62,18,1,37,112700
25,0,1,47,46056
39,12,1,46,87826
48,13,5,38,137953
50,3,2,57,80281
62,17,5,22,143810
59,22,4,33,156031
44,3,3,46,84754
35,9,5,50,124651
36,4,2,33,62755
60,13,5,23,131728
22,3,3,35,72436
48,15,2,43,111576
39,14,3,38,118410
23,1,1,36,41586
39,16,4,36,136287
36,12,5,59,138188
21,2,2,53,65914
63,27,3,42,165706
61,28,2,55,169549
43,9,5,45,122474
42,16,1,27,90595
50,7,2,26,70360
35,3,2,38,59136
33,7,4,26,92986
57,6,1,27,65543
65,39,5,52,244680
47,21,1,57,123818
35,1,1,45,46685
23,5,5,46,101860
22,3,4,44,82328
41,9,5,26,110773
31,1,1,20,28618
30,5,3,40,83568
49,17,5,50,153847
65,34,3,44,199802
51,23,1,27,120046
33,6,5,26,97916
42,18,2,37,113148
41,0,2,49,61640
60,41,5,55,248264
43,10,1,59,85538
49,26,4,27,165351
64,31,1,43,163454
57,1,3,41,80376
40,18,1,38,100806
37,11,5,59,137314
63,30,2,56,178193
65,43,1,50,205490
25,1,2,33,50144
30,9,5,23,106148
22,0,3,21,54664
25,0,3,26,52696
31,2,3,54,81000
40,3,5,43,100025
35,9,2,29,76759
56,15,4,43,140725
56,29,2,22,156788
21,0,3,50,66960
42,20,3,55,147886
32,10,4,56,117692
30,0,3,48,71935
27,3,3,46,80378
55,11,3,47,116911
59,10,3,46,115395
44,8,5,31,116704
54,32,1,42,156381
47,19,2,32,117521
64,15,5,31,148459
46,8,5,37,116798
35,9,4,34,101569
64,43,1,44,198844
45,1,1,25,37020
51,27,5,25,177721
59,0,2,60,70394
27,5,5,53,115024
48,23,2,50,139176
40,12,3,30,105335
58,30,5,33,195354
62,3,5,45,113990
62,24,2,22,136252
47,22,4,56,164557
62,5,1,38,69020
41,22,3,38,147405
45,18,2,21,107710
27,1,4,29,76241
63,24,4,48,174441
29,5,1,39,58073
23,0,4,28,63615
27,3,3,28,66458
44,16,4,53,138173
32,0,4,29,66120
50,2,1,29,43118
63,28,5,36,192524
30,11,1,37,75708
43,0,3,43,66663
52,18,1,49,118636
29,4,4,35,86706
46,16,4,45,139624
28,1,1,51,51582
59,32,3,55,187981
41,18,1,33,103562
44,7,4,53,112651
65,42,3,43,224092
45,12,1,21,77890
62,32,5,45,215197
30,1,1,41,45791
50,15,2,40,112902
34,0,1,47,43821
55,23,4,59,174185
56,10,1,45,83948
49,21,5,50,168643
23,0,4,44,71301
31,8,4,25,98971
39,4,5,56,115435
44,3,5,48,105071
59,24,3,35,158343
47,4,5,35,101962
51,15,4,21,123201
56,28,2,27,153680
47,7,2,60,92290
21,1,2,60,61017
62,15,2,28,104696
60,41,2,44,206268
31,8,4,45,103006
61,17,5,20,144842
23,0,5,33,80248
36,12,1,39,84983
31,4,5,55,108589
35,4,4,48,98720
48,22,5,29,161721
52,6,4,56,116140
25,2,1,40,45530
59,20,5,30,159455
49,19,4,41,144082
36,12,3,50,110678
42,16,2,60,118168
56,28,2,40,154265
35,6,3,52,91213
26,0,5,49,94861
64,5,5,53,123899
27,6,1,46,66671
32,5,2,40,67408
40,17,5,22,145811
65,12,5,36,137941
41,3,5,52,104515
46,19,2,21,110148
48,21,4,50,158573
31,9,1,57,79384
30,7,3,26,81040
55,27,2,44,151092
33,1,1,26,34780
50,6,1,28,60645
61,24,4,33,163539
21,0,1,55,48003
80,11,2,53,93022
56,13,3,38,114007
32,1,3,44,74735
26,0,3,26,52260
29,5,4,42,91956
57,30,2,57,173878
65,31,4,55,202183
76,15,2,51,106366
33,2,4,20,71808
48,12,3,27,108362
55,9,1,49,81257
60,16,1,52,107515
64,1,1,38,49398
58,24,1,27,123409
65,33,2,31,173679
50,24,3,59,168029
38,14,5,51,146377
21,2,3,33,61786
64,15,1,54,105965
64,41,5,42,239343
42,5,1,41,65324
57,28,2,43,160165
24,1,3,60,75375
42,15,4,28,126472
37,9,2,31,80907
21,0,5,48,84764
62,14,4,54,138320
49,27,3,30,156164
49,12,2,40,97099
54,12,2,43,97938
27,1,2,26,49880
47,19,3,21,126268
37,13,1,31,80859
51,29,1,30,145585
41,13,1,45,91685
62,38,4,30,215611
37,11,1,57,89757
27,3,5,39,98552
32,3,1,21,37303
40,2,4,26,83081
45,4,4,53,102940
21,0,2,41,47880
24,1,5,54,98081
42,4,5,33,103028
58,34,2,60,189415
44,18,4,57,154095
60,13,3,51,126990
56,19,5,58,174117
29,1,5,58,104248
27,2,2,51,61670
37,1,5,34,89865
64,38,3,35,203106
40,2,3,39,70187
63,27,4,47,185972
38,2,3,57,85661
27,7,1,58,72040
23,0,5,22,81374
53,20,5,32,157055
25,1,1,29,38419
48,28,2,38,155564
63,15,4,26,135489
36,3,1,40,48856
49,12,4,33,118879
62,28,2,42,164606
46,3,4,28,85613
53,14,4,46,133650
23,0,4,26,65634
61,1,1,50,62454
26,8,5,27,108087
61,19,3,33,140516
51,25,5,26,169708
65,24,3,41,159709
53,15,4,22,123671
29,6,1,22,54698
32,11,4,21,103844
21,1,5,30,83715
49,7,4,39,107028
32,0,4,45,82910
37,6,4,59,110413
54,3,4,43,90614
57,10,4,37,114995
55,5,3,32,81981
32,7,5,60,127040
38,15,1,35,88758
23,0,4,49,81688
59,6,1,44,68160
28,2,1,20,40280
65,8,4,42,115046
43,20,2,26,123133
47,18,5,32,153555
28,0,1,39,42590
29,1,2,84,49012
50,15,2,56,120122
46,14,3,57,128375
27,6,3,45,87737
53,29,2,32,155605
31,7,4,22,92999
33,5,3,57,89368
48,16,2,40,110268
64,45,1,46,209493
48,18,3,24,124067
36,13,5,57,143898
53,15,1,37,99499
56,20,4,60,166211
62,35,5,39,217589
63,33,5,36,214233
61,9,3,57,116520
65,14,3,21,108745
28,4,3,41,78125
40,2,4,26,80195
29,0,3,25,56797
59,31,4,23,186845
46,13,3,30,112243
56,15,3,59,128941
62,1,5,30,98262
48,10,2,20,83824
58,21,1,37,118515
21,0,2,25,44168
54,25,3,51,159257
58,29,5,50,203017
21,2,4,22,72785
41,4,5,33,100822
23,0,3,42,62419
27,3,4,59,90982
56,2,2,28,64755
51,22,2,43,139172
63,26,5,23,178173
61,1,5,48,106109
49,18,4,28,138421
48,17,5,59,161179
52,4,3,44,89731
52,21,3,27,137395
40,2,1,33,47204
58,36,1,60,181594
60,17,5,36,153577
64,27,3,48,171812
37,11,3,31,99395
53,31,1,58,159591
56,14,2,20,94663
50,2,4,42,85759
50,22,2,45,135230
33,14,4,28,115148
54,19,2,46,128633
64,12,5,33,140744
39,3,2,53,70145
53,0,2,24,54811
41,13,3,58,122952
25,1,3,23,57192
35,3,4,54,93681
43,0,5,51,95137
56,1,3,48,78407
58,1,4,22,79138
44,11,1,42,83447
50,14,2,58,112778
56,7,1,52,73449
64,25,3,47,167094
31,9,2,36,79683
28,6,1,27,55109
42,18,4,42,140273
25,2,4,43,78822
23,0,3,54,69558
21,2,3,32,68944
26,0,3,34,63523
39,6,5,40,114360
64,6,4,33,107210
33,1,4,39,84359
41,4,5,43,110517
56,24,3,29,147618
61,16,4,50,148898
61,34,5,44,220792
25,0,4,33,72579
30,12,2,54,96095
36,12,3,21,95240
32,6,1,57,64928
53,17,4,23,133815
28,1,4,36,73700
38,11,4,20,102261
36,18,4,23,135701
45,21,4,51,155197
47,4,5,58,115064
47,6,1,25,61060
22,0,4,51,74386
33,13,1,30,78056
36,7,5,28,108076
34,2,2,32,59688
25,4,1,27,42600
41,9,2,48,94402
45,23,3,38,146715
54,23,2,22,128914
46,2,4,36,86798
63,23,5,47,180490
42,14,3,40,120070
50,6,4,47,106110
48,27,1,41,135641
59,31,1,42,153429
63,21,5,45,177722
38,1,5,36,96409
33,13,4,42,123666
40,0,4,39,77900
22,0,3,45,67670
62,16,4,56,151692
24,2,2,55,61967
51,1,4,34,83930
57,31,1,20,145059
57,30,3,45,176121
56,18,3,44,139139
52,18,5,33,156408
30,6,5,24,98024
23,2,1,52,50546
37,3,1,47,56008
44,23,1,28,117267
53,25,5,58,186233
65,8,2,28,86391
25,1,2,41,54292
21,0,1,21,25000
27,3,4,49,91383
51,1,3,38,67695
45,22,2,47,140703
40,17,1,44,104611
63,41,3,20,211515
25,7,3,57,97519
46,18,3,50,139427
49,8,4,28,98568
61,37,5,59,234883
40,15,3,42,124140
51,14,2,39,103545
41,10,4,51,116978
30,1,4,42,82580
63,28,4,50,185139
64,29,5,45,203298
22,0,2,45,54355
25,1,1,31,39822
39,7,2,23,65850
35,3,4,43,92834
49,25,3,47,162186
34,0,3,47,66125
42,13,4,58,131030
31,5,4,51,101767
33,2,3,40,70069
54,31,1,20,146397
31,2,2,39,61118
43,9,1,34,75723
36,12,3,32,107910
89,16,5,53,154944
61,21,5,35,165524
49,12,5,20,123919
54,1,1,24,40420
48,20,5,40,164371
48,28,5,36,187703
43,18,2,22,107058
34,10,3,36,95851
25,1,3,27,58696
40,14,4,26,117525
23,1,3,36,63518
24,1,5,20,77478
58,19,4,32,142273
46,4,1,55,65578
43,1,4,31,77231
35,10,2,48,90998
63,34,5,32,212237
53,16,5,30,150129
62,27,1,45,144516
30,8,1,57,80688
34,3,3,53,86010
46,12,1,20,77896
24,0,1,60,44951
45,3,4,43,91609
48,23,2,43,140706
58,30,5,33,198055
54,1,4,25,74796
54,14,3,41,122299
60,27,4,53,184254
57,13,3,35,110607
65,10,1,37,87510
49,17,1,41,104233
50,27,1,41,144204
47,16,1,37,103077
23,0,4,59,79545
62,17,1,45,110901
23,0,3,35,54311
63,9,3,23,93979
41,17,3,58,135112
60,31,5,41,205595
38,1,4,23,75891
62,2,5,42,102582
41,21,3,45,147341
51,19,4,60,162509
45,3,2,41,66292
50,25,4,36,167792
51,26,3,54,172028
34,5,2,35,71924
65,2,4,42,91057
62,39,2,44,200208
41,15,3,50,127116
30,0,5,40,86756
64,12,3,30,113011
51,22,5,59,184653
53,10,5,32,130506
52,27,3,49,168652
40,15,5,55,154398
62,29,2,50,165786
60,8,2,53,99311
22,0,3,59,73188
57,31,3,33,175630
43,11,3,28,102340
62,11,5,27,133439
50,27,1,46,139542
41,12,4,25,115285
63,30,5,44,201593
48,3,4,52,100714
40,1,4,54,86016
51,25,1,32,127867
65,16,2,35,117525
50,10,4,31,114165
23,0,5,39,82764
50,14,1,49,102967
57,21,2,26,126088
59,12,1,48,99106
37,18,2,45,117862
26,0,5,59,100115
46,6,1,56,70298
41,5,5,31,108418
42,2,5,53,109429
24,2,2,38,54966
65,37,1,60,185997
32,10,1,60,88124
56,5,1,40,64135
61,13,2,34,107941
35,13,4,26,117691
61,2,5,24,97183
25,4,4,53,95888
33,1,5,21,77661
24,2,1,60,58572
31,6,5,55,119768
49,17,3,56,134622
21,0,1,28,29246
83,6,3,58,97525
62,11,5,22,124935
26,6,1,34,54977
43,20,4,34,141872
55,10,2,50,100451
53,26,3,51,163829
21,1,5,25,83131
47,14,1,45,101023
21,0,3,52,67723
21,0,4,42,69540
61,15,2,30,111073
49,10,5,28,127210
21,0,2,52,52299
60,23,2,57,152783
51,17,3,55,137416
54,10,5,43,132508
27,5,2,59,77533
43,18,2,31,115080
23,0,3,58,69866
26,0,3,25,53275
39,16,5,55,152057
59,30,2,43,165936
65,8,4,50,122214
46,3,3,40,76519
49,6,1,57,77908
61,30,4,51,192476
44,8,4,26,97610
37,5,5,59,112537
62,10,4,23,115661
21,1,3,30,55760
56,22,2,30,131627
42,5,2,24,68762
65,14,1,28,93939
25,2,3,39,67120
59,2,1,59,67323
61,10,1,22,73251
47,16,3,59,136430
38,11,1,32,75017
22,0,5,34,78833
26,3,1,60,59946
48,29,2,32,159292
24,4,5,29,96235
47,12,5,45,136554
31,9,5,53,126593
51,17,1,31,99895
28,0,1,28,30648
62,10,5,24,125076
30,0,5,27,77865
64,1,5,27,94524
57,27,2,59,165411
61,26,1,21,132741
56,9,3,33,94652
23,1,5,24,84818
63,14,2,29,109147
40,19,5,38,151882
37,4,1,38,55479
45,2,3,46,74454
29,1,5,26,82070
60,30,1,33,147223
56,22,1,36,123349
22,1,2,21,45380
46,1,5,48,95968
53,16,3,44,132294
57,14,4,59,140177
27,1,2,48,54302
50,12,3,42,116363
29,7,4,30,89966
51,23,5,43,180027
49,27,4,26,164014
25,0,4,28,65967
59,23,4,50,170389
48,28,2,58,164286
21,0,1,55,40463
55,35,3,58,201813
40,6,4,24,90040
48,21,4,51,157041
50,15,5,42,151257
23,0,3,28,58285
28,8,1,60,81879
22,0,2,57,61078
59,8,3,55,103169
46,13,5,57,143786
59,12,4,26,124139
51,21,3,58,148245
50,18,3,53,142961
51,20,5,31,158985
29,0,5,60,99427
26,0,2,40,50895
33,9,1,52,81551
46,15,3,33,120345
47,17,4,49,148281
64,8,5,37,127444
21,1,3,42,65235
63,0,3,38,71897
52,11,1,56,92420
30,0,3,36,64558
38,12,5,37,132889
29,6,4,56,102427
56,31,3,47,186899
36,4,3,57,89027
53,28,5,55,202307
65,6,2,54,89256
45,1,2,58,67670
23,0,2,32,43871
49,4,2,23,64457
37,9,5,45,123318
60,15,2,33,114049
60,25,5,39,180135
43,6,1,56,71130
44,6,5,31,107746
43,14,4,32,127471
22,2,2,31,50387
29,2,2,23,46381
24,3,5,36,94133
64,2,3,35,81664
41,14,1,44,90259
23,1,4,59,91543
59,15,1,42,99625
59,35,5,51,228472
45,8,5,36,120511
53,11,4,34,120710
43,8,3,20,81403
52,2,2,54,67515
61,35,2,51,184618
27,1,4,49,79248
26,6,3,27,76534
48,15,2,21,101349
58,19,5,46,165984
29,0,3,49,71576
54,13,1,48,92507
21,2,5,48,93528
54,6,5,54,127630
21,0,2,57,60858
30,10,4,48,114076
38,8,3,28,92954
28,2,2,54,63492
59,36,5,49,227593
32,5,5,55,115285
30,1,4,35,78110
35,7,3,23,84553
35,8,2,38,83296
38,11,1,33,79364
26,4,4,48,88942
64,43,1,30,198429
65,1,3,50,81327
47,7,5,20,104781
34,14,1,41,87599
63,28,1,51,157787
54,0,4,53,85523
65,22,4,47,163836
54,22,2,41,137806
35,11,2,46,89706
55,18,3,60,142645
23,0,2,24,43067
36,6,3,28,82243
26,5,4,57,96816
44,12,4,30,117698
30,0,3,34,64215
33,5,2,50,70360
59,6,1,37,65828
33,9,1,58,81971
40,16,1,26,88358
38,11,2,46,90887
58,3,3,37,78588
34,5,1,39,56639
50,5,5,57,115701
53,30,1,28,150487
25,0,2,47,52456
59,16,4,41,144390
24,1,2,24,48663
57,4,2,35,74461
53,9,2,44,93027
58,14,5,36,143288
65,0,5,36,95379
63,40,2,50,206734
51,19,4,42,148132
57,20,1,29,116479
29,6,3,49,93634
59,11,4,38,121801
29,4,5,47,101644
30,6,1,51,65896
60,27,2,25,143362
38,1,3,53,77897
55,22,2,35,138372
29,1,1,23,33938
63,37,5,20,220718
62,6,1,42,69103
47,24,3,43,152550
41,16,4,24,126538
52,10,2,22,83925
33,0,1,38,36583
24,2,3,22,62169
37,15,5,38,140669
30,9,1,41,70573
38,11,4,36,110851
60,16,4,36,141361
23,0,2,47,56798
53,21,4,28,150772
44,12,3,29,107104
62,7,2,57,91923
61,7,5,31,115357
31,2,4,39,83874
25,0,4,35,76171
49,13,3,24,107011
43,5,2,47,78907
32,10,5,51,125294
25,6,4,34,96403
58,39,2,58,206131
26,4,1,20,44430
46,11,2,42,96822
54,24,5,56,183374
30,11,5,43,124881
65,36,4,54,220080
56,22,5,60,183240
22,0,3,29,60507
60,20,5,30,158908
51,8,1,21,64089
47,6,3,46,97618
58,17,3,51,138790
34,11,2,32,91021
34,2,5,58,104262
41,0,4,37,75271
64,38,5,48,232661
50,9,4,44,117074
37,4,4,32,88705
34,7,1,56,72130
60,37,1,47,181711
29,5,1,59,67562
40,16,5,32,147005
37,2,3,46,76255
24,0,4,49,81029
33,0,2,20,44486
25,5,4,41,93917
21,1,3,26,55096
30,4,4,56,101331
43,10,1,54,82420
42,12,5,28,128611
43,24,5,35,168952
47,15,3,40,120773
55,20,1,23,104521
22,0,2,50,52462
60,13,3,55,129356
39,4,1,32,49126
39,10,5,25,119758
37,4,3,44,78781
54,4,5,31,104321
54,2,4,48,91125
48,9,4,32,110656
33,10,4,39,108299
61,6,4,53,113990
22,0,4,45,79621
45,1,3,37,66559
21,0,2,59,55900
53,22,2,58,140598
37,7,5,28,104834
25,4,4,33,88338
49,25,3,32,153383
46,10,4,34,113038
30,10,5,49,129482
52,14,1,44,97860
57,26,4,60,180992
51,15,2,37,104988
34,1,2,44,55148
31,7,3,43,89720
35,1,3,38,68616
60,19,1,24,105713
56,3,1,41,59671
61,8,1,57,86663
26,2,3,60,81860
43,6,5,37,112955
53,19,2,54,134217
25,2,5,38,89550
55,29,1,55,157244
42,13,4,55,127569
40,1,4,55,91333
45,6,4,35,99020
36,11,1,28,69381
37,3,2,26,54261
55,19,1,50,118509
52,8,1,26,71851
61,26,5,47,196003
28,7,3,22,77343
34,0,4,22,69150
45,19,3,22,126689
47,24,3,53,156488
23,0,3,58,74982
39,2,1,59,63633
38,1,1,51,51242
48,20,5,39,160956
57,9,5,27,123157
35,10,4,30,104757
41,2,5,42,97441
34,12,3,39,106281
62,33,2,21,167806
41,4,4,51,98680
63,7,2,33,80900
45,19,5,60,167426
44,1,3,25,64275
34,7,5,25,105527
39,13,3,43,116645
43,2,1,51,58868
47,6,4,57,113489
39,10,1,38,75395
61,37,3,30,192602
26,2,5,70,95602
63,1,5,59,107148
33,6,4,50,101998
45,2,2,29,56066
45,12,2,44,95789
63,26,2,24,147406
33,8,5,42,117903
48,3,3,48,80220
21,0,3,41,66139
64,0,3,21,68902
63,0,5,44,95997
44,5,5,42,106101
62,32,2,26,163430
51,33,4,45,197970
34,12,1,41,84206
46,18,4,20,136233
59,24,5,56,186514
28,1,2,57,59391
47,18,1,49,110454
43,0,4,32,74764
44,17,5,46,158687
47,19,3,51,137468
39,21,2,45,126330
53,25,5,43,186827
34,4,2,39,70919
34,12,4,50,120766
30,3,5,43,103633
29,0,4,36,74014
32,8,2,23,68834
51,14,3,27,109096
43,7,5,38,114415
33,1,3,36,62499
36,6,2,51,77016
34,12,5,47,138693
36,0,4,38,77314
42,13,4,21,118949
38,8,1,54,81332
43,16,2,40,115174
31,6,5,29,102468
43,9,2,46,90528
62,34,1,59,176261
42,9,3,56,104209
61,34,3,59,197296
44,13,1,52,97774
25,0,2,29,49070
63,41,3,54,225449
34,7,5,58,124884
59,10,4,50,122073
47,14,2,56,111043
33,9,5,21,112565
22,0,1,45,38786
62,37,3,29,200672
50,17,5,20,139086
31,3,4,20,71606
61,26,3,54,175924
35,3,5,32,99321
65,10,2,54,108917
57,2,1,22,48511
54,5,2,24,66693
36,13,3,28,101065
29,1,5,29,83804
64,9,1,45,85074
49,23,1,27,119244
21,1,4,45,77476
29,1,5,21,76975
65,25,3,37,162584
65,21,4,25,153625
27,3,1,46,47595
21,0,2,49,51992
53,1,3,51,79819
36,1,1,56,54934
30,3,5,21,84356
39,18,1,32,102773
33,1,4,37,80531
35,0,4,56,85267
22,0,1,25,28469
34,13,4,54,133017
60,24,3,24,151115
60,9,2,39,90884
21,1,1,45,44095
64,33,4,50,207713
62,2,5,24,94880
61,1,3,36,77674
64,16,4,56,153122
26,5,4,42,97891
26,4,3,22,66799
41,18,5,41,149523
41,16,4,45,136598
55,34,3,32,184504
21,0,5,28,74130
39,14,5,39,138268
53,32,5,58,220104
52,23,5,27,166256
61,37,1,20,168574
29,4,3,52,79480
47,13,3,42,112555
60,1,3,59,89315
56,10,4,33,112610
47,17,3,41,125599
27,1,1,24,32466
28,2,2,39,61022
58,27,4,36,171800
47,11,1,56,91044
56,36,5,24,210778
37,0,5,57,101815
60,9,5,28,124061
57,29,1,52,156200
28,4,4,59,102248
28,7,1,45,68902
64,41,2,60,216185
55,7,3,42,100912
44,18,4,32,143410
59,1,2,42,61202
51,31,5,50,207408
30,10,5,59,131810
64,21,5,48,172563
54,9,5,23,116789
57,24,3,36,154786
55,19,4,50,149972
27,2,2,40,52805
33,3,5,23,92258
39,11,3,33,98065
32,7,1,22,53807
56,2,5,56,109424
55,9,3,24,91961
53,25,1,37,132907
21,2,1,55,49269
55,27,2,24,146109
22,0,1,23,31122
62,31,3,40,182381
46,22,3,21,138287
65,4,2,49,84527
41,8,5,30,115909
62,15,5,52,155512
41,10,4,27,104077
63,20,3,24,130752
21,0,4,42,78215
65,4,3,20,82631
62,12,5,46,143982
42,17,1,48,102123
54,22,1,22,119183
56,33,1,22,154454
57,0,2,52,68261
54,30,4,32,184849
75,5,3,21,77148
26,0,3,29,61197
35,5,5,46,114181
61,9,1,46,87414
40,9,1,31,69599
34,4,4,56,99050
46,6,1,20,57462
52,1,3,36,74559
55,25,4,47,173762
29,3,5,44,96289
65,31,2,26,158900
39,12,2,26,86544
64,19,4,46,151285
24,2,1,48,51866
51,13,5,37,136747
27,8,3,29,85581
55,5,3,57,101857
38,1,2,48,58856
32,9,1,45,69829
34,11,1,21,72707
57,26,5,30,178451
56,16,1,32,101759
58,14,1,51,106733
26,3,4,48,86463
62,3,2,26,61102
31,9,5,33,118357
52,22,5,58,178965
63,39,5,45,234841
41,17,4,37,136715
50,22,5,23,162769
53,17,4,42,139551
25,3,5,25,91948
32,2,4,32,75753
62,17,2,53,131541
64,5,4,25,92427
43,9,4,37,111608
32,9,1,44,74909
52,6,4,30,102414
32,11,2,31,84443
28,5,2,59,80321
22,2,5,42,94534
61,34,3,25,183353
47,1,4,40,83570
45,1,5,30,91191
21,1,1,45,41680
55,28,5,37,190722
31,0,1,51,44094
23,0,5,26,81151
63,1,5,38,100983
61,7,3,55,101395
35,9,4,23,95788
32,5,5,22,95888
47,8,2,53,90802
25,0,3,54,70561
44,14,5,27,130234
48,9,1,22,71110
58,15,1,52,109048
57,4,5,38,108481
63,21,2,41,135457
47,18,4,58,156881
62,29,1,39,151989
37,5,2,31,67494
38,11,2,21,80349
62,19,1,48,115658
38,11,1,29,70467
60,27,2,29,147633
45,22,3,57,155685
38,5,1,33,53328
37,3,1,34,52636
42,16,5,38,146209
37,12,5,36,133270
37,13,1,42,92154
65,42,3,51,224619
26,2,2,45,57425
29,0,4,47,81653
56,4,4,32,92674
40,6,2,47,74592
63,18,2,25,118726
34,0,2,47,61285
23,0,1,57,44965
50,4,4,48,102667
61,3,5,49,116928
23,0,3,50,65335
22,2,4,45,80504
49,19,4,48,153685
31,2,5,20,88804
32,12,1,28,73489
26,1,4,41,77130
35,13,2,48,103161
64,3,2,56,82676
46,19,4,22,134940
50,17,2,25,110463
37,17,4,33,137566
58,16,3,35,122366
32,11,3,37,104364
48,23,4,57,171477
37,8,5,54,128716
56,29,4,41,181906
28,4,3,30,72181
51,24,1,31,125156
33,2,2,58,67679
43,3,1,21,42737
29,6,3,44,83667
49,12,1,32,86435
48,4,3,28,75744
24,0,1,54,49863
51,21,4,26,151532
28,1,1,57,47407
22,0,1,42,40784
34,2,4,37,87399
64,40,2,39,196505
39,9,4,27,108161
23,0,3,46,69255
45,2,4,41,83020
40,17,1,35,96648
51,2,2,51,68740
30,11,2,52,96468
25,0,1,71,41196
62,24,1,37,132701
24,3,2,45,60653
37,12,2,49,105025
27,2,1,32,42910
60,35,5,31,217160
60,7,1,48,81278
53,25,1,50,135705
60,26,5,26,178897
36,7,2,32,76483
53,17,2,47,119322
63,23,2,44,141391
65,42,2,27,205325
39,13,1,31,80153
36,8,4,52,110233
27,3,3,36,70744
48,25,1,54,136405
59,2,1,38,58032
53,4,2,44,73813
21,0,5,40,88437
34,4,4,54,100106
65,11,5,60,141752
31,5,4,58,103547
23,0,4,28,66212
47,6,4,41,107239
34,10,5,36,120455
55,6,5,38,116450
21,0,2,51,54684
47,16,4,33,129916
28,2,1,42,48825
54,0,5,55,105828
65,28,1,44,147224
24,0,1,29,34597
39,8,4,25,95238
53,21,2,44,133299
36,4,2,23,63296
34,9,3,57,107738
56,14,3,26,113643
23,2,5,24,81578
33,7,2,37,80259
32,6,2,27,62718
51,29,3,29,163932
45,6,2,53,82782
41,7,4,54,111082
41,23,5,29,164953
64,39,5,45,241476
61,28,2,21,151717
54,1,2,60,68976
29,7,1,22,54397
23,0,1,51,40665
34,1,4,60,87968
37,10,5,57,134421
52,2,3,28,70630
23,0,1,38,32738
53,32,5,51,210467
31,6,4,59,110883
21,2,5,40,88755
41,12,2,60,111704
33,3,4,20,78445
29,3,1,39,52796
65,35,5,51,221623
29,8,4,26,98211
26,2,4,31,72550
27,1,4,59,83510
45,18,4,51,153028
24,1,1,30,36059
59,17,2,52,128054
26,0,3,44,60984
30,3,4,29,82438
53,13,5,49,147355
49,1,1,54,52870
53,14,2,41,106860
21,0,4,51,74208
42,8,2,36,86189
23,2,5,25,83213
48,11,2,41,100115
27,3,1,51,54856
34,1,5,48,95643
51,13,2,37,100042
37,13,1,30,81111
59,33,5,53,219280
45,17,4,50,144310
43,13,1,37,85485
27,1,2,52,62279
64,14,5,24,139545
45,18,1,31,103144
59,24,2,27,136485
29,0,4,38,73015
36,11,4,34,108461
29,0,3,50,67050
58,31,1,44,156939
48,25,5,32,181515
47,21,5,24,160745
52,24,2,49,142961
28,9,1,33,64741
24,0,1,31,34669
26,3,5,36,92388
50,15,2,31,109562
46,2,2,23,50514
44,7,1,56,74106
27,1,5,42,88097
51,19,5,41,158355
27,1,1,56,55200
62,28,4,39,186942
59,22,4,49,169473
37,7,1,54,70345
60,5,3,34,87110
21,0,1,53,40179
45,17,1,44,104735
21,0,2,22,41941
41,20,2,57,135984
52,21,1,51,129373
51,8,2,21,75955
57,15,3,29,115749
36,0,2,27,48590
29,6,5,41,113331
36,2,1,37,48544
38,3,3,30,71968
37,3,3,20,69449
40,17,4,46,140961
54,30,2,29,154981
33,6,3,43,91345
29,0,3,43,68299
41,6,1,49,63605
59,19,4,30,148969
24,6,4,28,91343
32,2,3,37,69385
52,10,4,26,108869
49,17,3,58,140030
47,6,2,20,69570
28,7,2,24,71532
28,1,5,48,91108
52,30,4,40,185628
43,20,2,54,134060
31,10,4,59,121044
25,7,3,46,87603
58,30,1,25,148765
48,26,1,59,144246
46,16,4,45,140853
59,24,1,49,137256
25,1,3,60,78823
50,1,2,45,64926
45,12,5,41,133248
32,9,5,56,123105
64,7,3,53,109386
21,1,3,56,72479
35,6,3,38,81648
50,17,4,34,139790
53,25,5,28,173836
61,1,1,38,55915
49,19,4,39,146578
63,24,3,60,170263
54,23,3,44,154981
53,4,2,26,62238
43,16,2,41,109388
62,38,4,25,210872
56,16,3,41,131212
32,2,5,27,84064
38,8,4,44,105304
61,11,5,55,140733
55,2,2,33,58205
42,19,1,29,107425
42,19,4,53,151429
49,7,4,55,117032
32,5,3,31,79603
58,32,2,50,180871
28,0,4,55,85008
61,14,3,27,112871
48,8,2,33,84177
22,3,5,32,89595
23,2,2,33,50298
23,5,3,53,85080
34,4,2,32,63242
29,7,2,29,69843
64,20,3,59,154488
35,4,3,44,78979
63,33,3,48,190082
31,0,3,48,72898
29,1,2,54,66300
31,5,5,21,93767
42,1,5,59,103793
36,2,3,44,72780
56,0,4,47,90334
65,40,4,60,235236
52,21,4,40,156497
62,24,3,51,165563
27,0,1,59,45809
31,3,5,60,110835
35,9,4,58,115932
49,18,4,51,145153
26,3,5,43,99425
34,9,3,48,103688
36,9,3,27,94648
41,8,2,30,76960
44,5,3,53,89539
40,10,2,42,87686
53,14,3,56,124701
62,24,2,40,144677
51,3,4,51,100434
21,0,1,27,29777
59,17,4,38,142606
39,11,3,39,104355
59,15,4,48,145630
58,17,1,56,111259
32,8,4,59,117665
38,0,5,59,104226
33,7,1,41,62151
42,0,5,50,98738
37,3,4,53,99777
