area,Year,Rooms,Location,Floor,Price
103,1388,2, Sazman-e Barnameh,2,97000000000
45,1389,1, Yaft Abad,0,20000000000
110,1402,2, Daryacheh Shahidaye Khalij-e Fars,4,10000000000
61,1380,2, Bahar,2,49000000000
120,1401,2, Zaferanieh,3,36000000000
40,1383,1, Piroozi,0,27500000000
64,1385,2, Jannat Abad Jonubi,3,58000000000
60,1398,1, Mobarakeh Abad-e Beheshti,1,2.04E+11
74,1392,1, Daneshgah-e Sharif,3,57500000000
110,1402,2, Abshar Tehran,17,33000000000
67,1397,1, Mobarakeh-e-Beheshti,3,174000000
112,1395,3, Marzdaran,4,1250000000
44,1382,1, Jannat Abad Shomali,3,539500000
200,1399,3, Niavaran,5,3900000000
185,1402,3, Saadat Abad,0,4625000000
112,1402,2, Dehkadeh Olympic,2,1400000000
540,1402,4, Zaferanieh,8,23760000000
82,1395,2, Poonak,2,825000000
98,1401,2, Marzdaran,1,15700000
102,1370,2, Gisha (Kooy-e Nasr),0,14000000
455,1402,4, Elahieh,8,160000000
95,1392,2, Bahar,2,87000000
94,1394,2, Planning Organization,2,89000000
117,1402,2, Pasdaran,7,145000000
129,1392,3, Poonak,4,158000000
123,1393,2, Bagh-e Faez,1,118000000
77,1395,2, Kerman,0,75000000
112,1402,2, Koohak,10,190400000
120,1394,2, Kooy-e Ferdows,2,135000000
185,1401,3, Fereshteh,8,240500000
112,1385,2, Mirdamad,3,138500000
103,1401,2, Heravi,7,139000000
180,1401,3, Pasdaran,6,216000000
210,1388,3, Elahieh,3,40000000000
129,1401,2, Pasdaran,7,170000000
103,1383,2, Poonak,6,125000000
106,1402,2, Marzdaran,4,140000000
75,1402,2, Mobarakeh-ye Beshsti,2,217500000
150,1402,3, Piroozi,3,225000000
88,1399,2, Mobarakeh-ye Beshsti,2,266000000
60,1380,1, Baharstan,0,30000000000
50,1401,1, Police,3,34000000
108,1402,2, Pasdaran,3,162000000
70,1395,2, Abshar,0,55000000
122,1393,2, Gisha (Kooy-e Nasr),2,165000000
50,1391,1, Piroozi,0,40000000000
90,1402,2, Owqaf,0,100000000
110,1397,2, Gisha (Kooy-e Nasr),5,185000000
68,1390,2, Poonak,2,76500000
105,1392,2, Daryan-e Now,0,127000000
71,1394,2, Gorgan,2,4828000000
103,1389,2, Iran,0,85000000
110,1384,2, Abazar,2,87000000
110,1402,2, Yousefabad,4,170000000
53,1392,1, Shemiran-e Now,0,125000000
150,1402,3, Yousefabad,5,220000000
58,1376,1, Majidieh,0,38000000
92,1402,2, Yousefabad,3,161000000
60,1389,1, Khavaran,4,300000000
145,1392,3, Martyrs of Persian Gulf Lake,10,12325000000
110,1401,2, Shahrak-e Rah-a-han,8,166000000
200,1402,3, Yousefabad,2,40000000000
72,1395,2, Jalili,3,39600000
108,1393,3, Heravi,4,1320000000
100,1402,2, Marzdaran,1,180000000
160,1401,3, Niyavaran,4,219000000
147,1395,3, Poonak,5,2337000000
131,1401,2, Heravi,10,1572000000
81,1392,2, Tehranpars Gharbi,1,650000000
86,1400,2, Chitgar,22,735000000
92,1402,2, Saadat Abad,6,1520000000
50,1385,1, Maidan-e Har,2,28000000
170,1384,3, Saadat Abad,5,27250000000
62,1391,2, Saadat Abad,4,855000000
62,1382,2, Jeyhoon,1,37000000
127,1401,3, Patrice Lumumba,1,1470000000
150,1402,3, Kamanieh,1,320000000
128,1402,3, Shahrak-e Gharb,5,2300000000
120,1383,2, Saadat Abad,1,168000000
90,1370,2, Chizar,3,108000000
77,1382,2, Jeyhoon,2,495000000
112,1402,2, Heravi,8,1450000000
980,1402,2, Sadeghieh,5,13750000000
138,1402,3, Chitgar,12,16560000000
105,1393,2, South Jannat Abad,3,1060000000
78,1402,2, Vardavard,4,51000000
98,1384,2, Gisha (Kooi Nasr),2,110000000
85,1386,2, Sadeghiyeh,3,20000000
183,1399,3, Farmanieh,3,3500000000
194,1402,3, Pasdaran,11,21922000000
131,1400,2, Shahrek-e Omide,14,1630000000
93,1402,2, Chitgar,17,85500000
63,1392,1, Tehran-e Sar,1,480000000
300,1401,3, Velenjak,11,9000000000
134,1388,2, Shahrak-e Rah-a-han,1,1150000000
200,1397,3, Elahiyeh,6,3600000000
90,1400,2, Zanjan,1,67000000
141,1401,3, Saadat Abad,3,3800000000
103,1402,2, Pasdaran,4,12772000000
110,1389,2, Niyavaran,1,1550000000
132,1395,3, Kooi Fardous,2,1295000000
106,1402,2, Heravi,6,13780000000
125,1397,2, Poonak,3,1280000000
128,1402,2, Martyrs of Persian Gulf Lake,6,3200005000
106,1399,2, Central Jannat Abad,6,14390000000
130,1401,3, Pasdaran,7,14650000000
94,1402,2, Vardavard,8,23000000
90,1394,2, Soleymani,2,43000000000
96,1401,2, Mobarakeh-ye Bahshti,2,2750000000
110,1401,3, Pasdaran,6,12700000000
167,1394,3, Behjat Abad,4,16800000000
140,1382,3, Saadat Abad,1,1900000000
110,1400,2, Pasdaran,3,12750000000
100,1402,1, Sarv Azad,24,335000000
55,1398,1, Shahrak-e Takhti,2,1705000000
183,1402,3, Heravi,4,20679000000
130,1402,3, Chitgar,20,4200000000
111,1397,3, Saadat Abad,5,2.4E+11
88,1402,2, Doulab,4,5544000000
157,1401,3, Saadat Abad,1,2850000000
70,1388,2, Eram,2,68000000
120,1397,3, Zafar,4,18000000000
100,1402,2, Vardavard,11,24000000000
86,1370,2, Doulatabad,0,450000000
58,1402,2, Tehran-e Sar,3,4089000000
320,1402,4, Daroos,5,90000000000
105,1371,2, Ghal'ehak,0,1500000000
44,1395,1, Falaah,3,248000000
183,1402,3, Heravi,4,20679000000
68,1381,2, Al-Mahdi,2,625000000
51,1390,1, Amirieh,4,220000000
106,1402,2, Heravi,6,13780000000
57,1387,1, Amirieh,3,198000000
52,1380,1, Monirieh,3,218000000
55,1384,1, Amir Bahador,1,272000000
57,1387,1, Amiriyeh,1,235000000
52,1387,1, Monirieh,2,269000000
53,1382,1, Amir Bahador,0,165000000
200,1382,3, Ghal'ehak,3,2660000000
65,1382,2, Mashiriye,1,305000000
42,1392,1, Amiriyeh,1,200000000
53,1398,1, Andisheh (Shahr-e Ziba),1,95000000
50,1402,1, Poonak,4,390000000
100,1402,2, Martyrs of Persian Gulf Lake,15,250000000
350,1401,4, Niyavaran,6,83000000000
46,1399,1, Salsabil,2,253000000
117,1401,2, Sadeghiyeh,1,1239000000
63,1397,2, Andisheh (Shahr-e Ziba),2,126000000
60,1384,2, Meydan-e Har,5,42000000
155,1398,3, Araaj,3,2700000000
67,1383,2, Poonak,5,576000000
133,1385,2, Niyavaran,3,2150000000
230,1395,3, Daroos,5,47000000000
86,1384,2, Plan and Budget Organization,0,690000000
155,1399,3, Saadat Abad,4,335000000
120,1402,2, Martyrs of Persian Gulf Lake,10,215000000
127,1397,3, South Jannat Abad,4,1188000000
98,1396,2, North Jannat Abad,5,949000000
162,1402,3, Martyrs of Persian Gulf Lake,19,950000000
64,1400,1, Mobarakeh-ye Bahshti,3,1952000000
209,1400,4, Elahiyeh,4,53000000000
44,1383,1, Salsabil,2,225000000
49,1399,1, Mobarakeh-ye Bahshti,1,175000000
70,1400,2, Deilaman,1,200000000
60,1402,2, Mobarakeh-ye Bahshti,2,2016000000
145,1382,3, Youssef Abad,6,1660000000
90,1402,2, South Jannat Abad,5,126800000
98,1390,2, Poonak,1,950000000
95,1392,2, Poonak,3,1050000000
110,1397,2, Shahr-e Janoubi,5,1100000000
125,1399,2, Jardan,1,1650000000
72,1402,2, Mobarakeh-ye Bahshti,2,202000000
155,1402,3, Shahrak-e Rah-a-han,3,1550000000
71,1396,2, Mobarakeh-ye Bahshti,3,210000000
41,1396,1, Falaah,1,205000000
70,1401,2, Mobarakeh-ye Bahshti,4,1900000000
100,1402,2, Martyrs of Persian Gulf Lake,15,220000000
187,1390,3, Saadat Abad,3,3900000000
84,1394,2, Nazibad,4,710000000
73,1396,1, Velenjak,3,1750000000
58,1395,1, Kooi Fardous,3,540000000
65,1396,2, South Jannat Abad,1,715000000
46,1402,1, Jeyhoon,3,290000000
65,1402,1, Khazaneh,5,390000000
104,1402,2, Chitgar,11,13000000
122,1401,2, Farmanieh,2,1586000000
70,1374,2, Zanjan,3,49000000
120,1401,2, Velenjak,6,1.11111E+11
119,1401,3, Chitgar,14,165400000
108,1387,3, Shahrak-e Mosalmin,3,464400000
68,1401,1, Mobarakeh-ye Bahshti,2,17500000
50,1384,1, Beryanak,2,31000000
62,1400,2, Mobarakeh-ye Bahshti,4,17500000
130,1398,3, Heravi,7,17500000000
73,1384,2, Gisha (Kuy-e Nasr),1,73000000
81,1385,2, Saadat Abad,3,98000000
90,1391,2, South Jannat Abad,3,86000000
80,1401,2, Ostad Mo'een,4,62000000
150,1400,3, Amaniye,1,24000000000
115,1399,2, Youssef Abad,1,1800000000
63,1400,1, Mobarakeh-ye Bahshti,3,19260000
103,1395,2, Shahrak-e Rah-a-han,1,76200000
157,1387,3, Saadat Abad,2,200000000
125,1385,2, Ajudanieh,1,190000000
100,1397,2, Darb-e Dovvom,1,145000000
88,1401,2, Ekbatan,30,1060000000
51,1390,1, Javadiyeh,3,255000000
99,1375,1, Shokoufeh,0,435600000
47,1380,1, Masoudieh,2,200000000
68,1375,2, Central Jannat Abad,1,68000000
107,1394,2, Amirabad,2,200000000
85,1402,2, Saadat Abad,1,1600000000
62,1400,2, Mobarakeh-ye Bahshti,4,17500000
71,1396,2, Khwajeh Nazem al-Molk,2,510000000
133,1381,3, Iran,5,1060000000
89,1400,2, Mobarakeh-ye Bahshti,2,24030000000
75,1399,2, Shahrak-e Rah-a-han,1,76000000
50,1391,1, Martyrs of Persian Gulf Lake,2,150000000
85,1387,2, Velenjak,9,1620000000
